,CG,VE,CM,GZ,TC,CZ,CA,CY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,951900.8985953862,113333.3333333333,58333.333333333336,0.0,83333.33333333333,0.0,292630.574002904,58125.0
2,990702.8668706995,113333.33333333334,58333.333333333336,0.0,83333.33333333333,0.0,303907.39605795627,58125.0
3,1029017.6075253392,113333.33333333337,58333.333333333336,0.0,83333.33333333333,0.0,315042.617585436,58125.0
4,1066814.0007916,113333.3333333334,58333.333333333336,0.0,83333.33333333333,0.0,326027.1944028336,58125.0
5,1104061.3354738988,113333.3333333333,58333.333333333336,0.0,83333.33333333333,0.0,336852.2010689128,58125.0
6,1140729.350918297,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,347508.8430811033,58125.0
7,1176788.2785596272,113333.33333333339,58333.333333333336,0.0,83333.33333333333,0.0,357988.46895013424,58125.0
8,1212208.8829681587,113333.33333333337,58333.333333333336,0.0,83333.33333333333,0.0,368282.58212922106,58125.0
9,1246962.5023169739,113333.33333333342,58333.333333333336,0.0,83333.33333333333,0.0,378382.85277489736,58125.0
10,1281021.0881926105,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,388281.1293169828,58125.0
11,1314357.244671646,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,397969.44981521467,58125.0
12,1346944.266586992,113333.33333333342,58333.333333333336,0.0,83333.33333333333,0.0,407440.0530803909,58125.0
13,1378756.176908685,113333.33333333339,58333.333333333336,0.0,83333.33333333333,0.0,416685.38953816146,58125.0
14,1409767.7631649657,113333.33333333336,58333.333333333336,0.0,83333.33333333333,0.0,425698.1318139053,58125.0
15,1439954.6128312885,113333.33333333331,58333.333333333336,0.0,83333.33333333333,0.0,434471.1850176602,58125.0
16,1469293.147616106,113333.33333333328,58333.333333333336,0.0,83333.33333333333,0.0,442997.6967084304,58125.0
17,1497760.656574103,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,451271.0665177187,58125.0
18,1525335.3279797714,113333.33333333344,58333.333333333336,0.0,83333.33333333333,0.0,459284.9554127854,58125.0
19,1551996.2798960037,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,467033.2945806451,58125.0
20,1577723.5893749357,113333.33333333331,58333.333333333336,0.0,83333.33333333333,0.0,474510.2939145618,58125.0
21,1602498.3202305527,113333.33333333323,58333.333333333336,0.0,83333.33333333333,0.0,481710.4500854629,58125.0
22,1626302.5493253518,113333.33333333336,58333.333333333336,0.0,83333.33333333333,0.0,488628.55418150016,58125.0
23,1649119.3913160728,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,495259.6988997773,58125.0
24,1670933.021806363,113333.3333333334,58333.333333333336,0.0,83333.33333333333,0.0,501599.2852750946,58125.0
25,1691728.6988575335,113333.33333333334,58333.333333333336,0.0,83333.33333333333,0.0,507643.0289315107,58125.0
26,1711492.7828114675,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,513386.96584337676,58125.0
27,1730212.75438347,113333.33333333342,58333.333333333336,0.0,83333.33333333333,0.0,518827.4575935703,58125.0
28,1711820.287961742,113333.33333333346,58333.333333333336,0.0,83333.33333333333,0.0,513482.14702788665,58125.0
29,1693581.36693534,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,508181.4605928188,58125.0
30,1675494.7572242625,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,502925.0396338654,58125.0
31,1657559.2345169182,113333.3333333333,58333.333333333336,0.0,83333.33333333333,0.0,497712.52833546937,58125.0
32,1639773.5841932932,113333.33333333346,58333.333333333336,0.0,83333.33333333333,0.0,492543.57369868865,58125.0
33,1622136.6012487249,113333.33333333337,58333.333333333336,0.0,83333.33333333333,0.0,487417.8255190421,58125.0
34,1604647.090218268,113333.33333333323,58333.333333333336,0.0,83333.33333333333,0.0,482334.93636452936,58125.0
35,1587303.8651016592,113333.3333333334,58333.333333333336,0.0,83333.33333333333,0.0,477294.56155382306,58125.0
36,1570105.7492888654,113333.33333333326,58333.333333333336,0.0,83333.33333333333,0.0,472296.35913463176,58125.0
37,1553051.5754862195,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,467339.98986223247,58125.0
38,1536140.185643136,113333.3333333333,58333.333333333336,0.0,83333.33333333333,0.0,462425.11717817327,58125.0
39,1519370.430879399,113333.33333333333,58333.333333333336,0.0,83333.33333333333,0.0,457551.40718914045,58125.0
40,1502741.1714130205,113333.33333333328,58333.333333333336,0.0,83333.33333333333,0.0,452718.5286459931,58125.0
41,1486251.276488668,113333.33333333343,58333.333333333336,0.0,83333.33333333333,0.0,447926.1529229621,58125.0
42,1469899.624306651,113333.33333333343,58333.333333333336,0.0,83333.33333333333,0.0,443173.9539970115,58125.0
43,1453685.1019524639,113333.33333333337,58333.333333333336,0.0,83333.33333333333,0.0,438461.6084273624,58125.0
44,1437606.6053268826,113333.33333333324,58333.333333333336,0.0,83333.33333333333,0.0,433788.79533517716,58125.0
45,1421663.0390766123,113333.33333333336,58333.333333333336,0.0,83333.33333333333,0.0,429155.1963834038,58125.0
46,1405853.3165254737,113333.33333333336,58333.333333333336,0.0,83333.33333333333,0.0,424560.49575677695,58125.0
47,1390176.3596061333,113333.33333333337,58333.333333333336,0.0,83333.33333333333,0.0,420004.3801419771,58125.0
48,1374631.0987923683,113333.33333333331,58333.333333333336,0.0,83333.33333333333,0.0,415486.5387079451,58125.0
49,1359216.4730318624,113333.33333333331,58333.333333333336,0.0,83333.33333333333,0.0,411006.6630863508,58125.0
50,1343931.4296795288,113333.33333333334,58333.333333333336,0.0,83333.33333333333,0.0,406564.4473522152,58125.0
51,1328774.9244313578,113333.33333333334,58333.333333333336,0.0,83333.33333333333,0.0,402159.58800468483,58125.0
52,1313745.921258781,3168.227410472349,168498.43925619437,0.0,83333.33333333333,0.0,397791.7839479563,58125.0
53,1298843.3923435516,0.0,171666.66666666663,0.0,83333.33333333333,0.0,393460.73647235095,58125.0
54,1284066.3180131367,0.0,171666.66666666672,0.0,83333.33333333333,0.0,389166.1492355383,58125.0
55,1269413.6866766154,0.0,171666.66666666677,0.0,83333.33333333333,0.0,384907.7282439063,58125.0
56,1254884.4947610789,0.0,171666.66666666663,0.0,83333.33333333333,0.0,380685.1818340775,58125.0
57,1240477.7466485319,0.0,171666.6666666668,0.0,83333.33333333333,0.0,376498.2206545717,58125.0
58,1226192.4546132863,0.0,171666.66666666672,0.0,83333.33333333333,0.0,372346.5576476101,58125.0
59,1212027.6387598505,0.0,171666.66666666666,0.0,83333.33333333333,0.0,368229.90803106443,58125.0
60,968240.3081116023,0.0,401408.6855163629,0.0,83333.33333333333,0.0,364147.9892805468,58125.0
61,0.0,0.0,1355722.2214647995,0.0,83333.33333333333,0.0,360100.52111163957,58125.0
62,0.0,0.0,1341913.0321642836,0.0,83333.33333333333,0.0,356087.2254622659,58125.0
63,0.0,0.0,1328220.4765402568,0.0,83333.33333333333,0.0,352107.82647519716,58125.0
64,0.0,0.0,1314643.6129334206,0.0,83333.33333333333,0.0,348162.05048069905,58125.0
65,0.0,0.0,1301181.5071520903,0.0,83333.33333333333,0.0,344249.62597931264,58125.0
66,0.0,0.0,1287833.2324134158,0.0,83333.33333333333,0.0,340370.2836247716,58125.0
67,0.0,0.0,1274597.86928506,0.0,83333.33333333333,0.0,336523.75620705227,58125.0
68,0.0,0.0,1261474.5056273383,0.0,83333.33333333333,0.0,332709.7786355581,58125.0
69,0.0,0.0,1248462.2365358071,0.0,83333.33333333333,0.0,328928.087922435,58125.0
